0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,classes
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9681954974876473,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.7048327646991335,0.9904989178192587,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9944157592586553,0.0,0.0,0.0,0.5,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208331516788689,0.9511254960556053,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9295534250454455,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7048327646991335,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9840878201759484,0.0,0.5,0.936548965138893,0.7951672353008666,0.9858552219993699,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8440417392452615,0.0,0.9576213907301072,0.0,0.8743340836219977,0.9807143934563513,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.9511254960556053,0.0,0.9665245832868518,0.8948630865774932,0.7048327646991335,0.9625948815174468,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.9546042580002793,0.0,0.0,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9208331516788689,0.0,0.9295534250454455,0.9697076556232638,0.0,0.5,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9576213907301072,0.0,0.7951672353008666,0.7048327646991335,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.7048327646991335,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9511254960556053,0.0,0.0,0.0,0.5,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9787871951889292,0.9794709970445046,0.0,0.0,0.0,0.7048327646991335,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7048327646991335,0.0,0.0,0.5,0.7048327646991335,0.0,0.5,0.0,0.7048327646991335,0.9646685542237308,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9511254960556053,0.0,0.0,0.0,0.7048327646991335,0.9470706478808203,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7048327646991335,0.0,0.9875188587324953,0.0,0.0,0.9745487773040165,0.9511254960556053,0.9848452496488564,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8743340836219977,0.9848452496488564,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9602629513889184,0.0,0.0,0.0,0.0,0.8743340836219977,0.8743340836219977,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.975526687091491,0.0,0.9723383008666762,0.0,0.9208331516788689,0.8743340836219977,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9208331516788689,0.9823206636533935,0.0,0.9787871951889292,0.9511254960556053,0.9764322622593172,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9546042580002793,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208331516788689,0.8743340836219977,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985331367609537,0.9625948815174468,0.8948630865774932,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9872693017980544,0.0,0.0,0.0,0.9422841232473911,0.8743340836219977,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9546042580002793,0.0,0.0,0.0,0.8743340836219977,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9772732390123643,0.0,0.0,0.0,0.9422841232473911,0.9851975571792263,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7048327646991335,0.9882120923303974,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9890248844484466,0.0,0.0,0.9916239074103248,0.9511254960556053,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208331516788689,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7951672353008666,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.909665529398267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9602629513889184,0.9888323777193981,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9470706478808203,0.9665245832868518,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9602629513889184,0.0,0.0,0.0,0.9422841232473911,0.9208331516788689,0.0,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9898957727866763,0.9864569418318746,0.9625948815174468,0.9930804923643742,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.8440417392452615,0.0,0.997066289097121,0.9511254960556053,0.9787871951889292,2
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7048327646991335,0.0,0.0,0.7951672353008666,0.9546042580002793,0.0,0.0,0.9960944062236294,0.8948630865774932,0.0,2
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9861626192581294,0.0,0.0,0.9943160459268107,0.0,0.0,0.9965021243623434,0.9665245832868518,0.0,2
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942127069499783,0.8743340836219977,0.0,2
